"Date","Time (LST/LDT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"1860/01/01","00:00","NaN","NaN","NaN","581.644","NaN","NaN","NaN","NaN","0"
"1860/02/01","00:00","NaN","NaN","NaN","581.821","NaN","NaN","NaN","NaN","0"
"1860/03/01","00:00","NaN","NaN","NaN","581.854","NaN","NaN","NaN","NaN","0"
"1860/04/01","00:00","NaN","NaN","NaN","581.982","NaN","NaN","NaN","NaN","0"
"1860/05/01","00:00","NaN","NaN","NaN","582.103","NaN","NaN","NaN","NaN","0"
"1860/06/01","00:00","NaN","NaN","NaN","582.221","NaN","NaN","NaN","NaN","0"
"1860/07/01","00:00","NaN","NaN","NaN","582.26","NaN","NaN","NaN","NaN","0"
"1860/08/01","00:00","NaN","NaN","NaN","582.073","NaN","NaN","NaN","NaN","0"
"1860/09/01","00:00","NaN","NaN","NaN","581.873","NaN","NaN","NaN","NaN","0"
"1860/10/01","00:00","NaN","NaN","NaN","581.562","NaN","NaN","NaN","NaN","0"
"1860/11/01","00:00","NaN","NaN","NaN","581.234","NaN","NaN","NaN","NaN","0"
"1860/12/01","00:00","NaN","NaN","NaN","581.073","NaN","NaN","NaN","NaN","0"
"1861/01/01","00:00","NaN","NaN","NaN","580.961","NaN","NaN","NaN","NaN","0"
"1861/02/01","00:00","NaN","NaN","NaN","581.053","NaN","NaN","NaN","NaN","0"
"1861/03/01","00:00","NaN","NaN","NaN","581.444","NaN","NaN","NaN","NaN","0"
"1861/04/01","00:00","NaN","NaN","NaN","581.542","NaN","NaN","NaN","NaN","0"
"1861/05/01","00:00","NaN","NaN","NaN","581.962","NaN","NaN","NaN","NaN","0"
"1861/06/01","00:00","NaN","NaN","NaN","582.123","NaN","NaN","NaN","NaN","0"
"1861/07/01","00:00","NaN","NaN","NaN","582.251","NaN","NaN","NaN","NaN","0"
"1861/08/01","00:00","NaN","NaN","NaN","582.493","NaN","NaN","NaN","NaN","0"
"1861/09/01","00:00","NaN","NaN","NaN","582.182","NaN","NaN","NaN","NaN","0"
"1861/10/01","00:00","NaN","NaN","NaN","582.064","NaN","NaN","NaN","NaN","0"
"1861/11/01","00:00","NaN","NaN","NaN","581.831","NaN","NaN","NaN","NaN","0"
"1861/12/01","00:00","NaN","NaN","NaN","581.663","NaN","NaN","NaN","NaN","0"
"1862/01/01","00:00","NaN","NaN","NaN","581.453","NaN","NaN","NaN","NaN","0"
"1862/02/01","00:00","NaN","NaN","NaN","581.302","NaN","NaN","NaN","NaN","0"
"1862/03/01","00:00","NaN","NaN","NaN","581.601","NaN","NaN","NaN","NaN","0"
"1862/04/01","00:00","NaN","NaN","NaN","581.762","NaN","NaN","NaN","NaN","0"
"1862/05/01","00:00","NaN","NaN","NaN","582.011","NaN","NaN","NaN","NaN","0"
"1862/06/01","00:00","NaN","NaN","NaN","582.142","NaN","NaN","NaN","NaN","0"
"1862/07/01","00:00","NaN","NaN","NaN","582.041","NaN","NaN","NaN","NaN","0"
"1862/08/01","00:00","NaN","NaN","NaN","582.031","NaN","NaN","NaN","NaN","0"
"1862/09/01","00:00","NaN","NaN","NaN","581.962","NaN","NaN","NaN","NaN","0"
"1862/10/01","00:00","NaN","NaN","NaN","581.854","NaN","NaN","NaN","NaN","0"
"1862/11/01","00:00","NaN","NaN","NaN","581.463","NaN","NaN","NaN","NaN","0"
"1862/12/01","00:00","NaN","NaN","NaN","581.322","NaN","NaN","NaN","NaN","0"
"1863/01/01","00:00","NaN","NaN","NaN","581.253","NaN","NaN","NaN","NaN","0"
"1863/02/01","00:00","NaN","NaN","NaN","581.302","NaN","NaN","NaN","NaN","0"
"1863/03/01","00:00","NaN","NaN","NaN","581.293","NaN","NaN","NaN","NaN","0"
"1863/04/01","00:00","NaN","NaN","NaN","581.293","NaN","NaN","NaN","NaN","0"
"1863/05/01","00:00","NaN","NaN","NaN","581.503","NaN","NaN","NaN","NaN","0"
"1863/06/01","00:00","NaN","NaN","NaN","581.591","NaN","NaN","NaN","NaN","0"
"1863/07/01","00:00","NaN","NaN","NaN","581.542","NaN","NaN","NaN","NaN","0"
"1863/08/01","00:00","NaN","NaN","NaN","581.411","NaN","NaN","NaN","NaN","0"
"1863/09/01","00:00","NaN","NaN","NaN","581.234","NaN","NaN","NaN","NaN","0"
"1863/10/01","00:00","NaN","NaN","NaN","581.142","NaN","NaN","NaN","NaN","0"
"1863/11/01","00:00","NaN","NaN","NaN","580.971","NaN","NaN","NaN","NaN","0"
"1863/12/01","00:00","NaN","NaN","NaN","581.043","NaN","NaN","NaN","NaN","0"
"1864/01/01","00:00","NaN","NaN","NaN","580.814","NaN","NaN","NaN","NaN","0"
"1864/02/01","00:00","NaN","NaN","NaN","580.673","NaN","NaN","NaN","NaN","0"
"1864/03/01","00:00","NaN","NaN","NaN","580.922","NaN","NaN","NaN","NaN","0"
"1864/04/01","00:00","NaN","NaN","NaN","581.073","NaN","NaN","NaN","NaN","0"
"1864/05/01","00:00","NaN","NaN","NaN","581.142","NaN","NaN","NaN","NaN","0"
"1864/06/01","00:00","NaN","NaN","NaN","581.132","NaN","NaN","NaN","NaN","0"
"1864/07/01","00:00","NaN","NaN","NaN","581.033","NaN","NaN","NaN","NaN","0"
"1864/08/01","00:00","NaN","NaN","NaN","580.853","NaN","NaN","NaN","NaN","0"
"1864/09/01","00:00","NaN","NaN","NaN","580.581","NaN","NaN","NaN","NaN","0"
"1864/10/01","00:00","NaN","NaN","NaN","580.194","NaN","NaN","NaN","NaN","0"
"1864/11/01","00:00","NaN","NaN","NaN","580.023","NaN","NaN","NaN","NaN","0"
"1864/12/01","00:00","NaN","NaN","NaN","579.892","NaN","NaN","NaN","NaN","0"
"1865/01/01","00:00","NaN","NaN","NaN","579.672","NaN","NaN","NaN","NaN","0"
"1865/02/01","00:00","NaN","NaN","NaN","579.76","NaN","NaN","NaN","NaN","0"
"1865/03/01","00:00","NaN","NaN","NaN","579.931","NaN","NaN","NaN","NaN","0"
"1865/04/01","00:00","NaN","NaN","NaN","580.423","NaN","NaN","NaN","NaN","0"
"1865/05/01","00:00","NaN","NaN","NaN","580.581","NaN","NaN","NaN","NaN","0"
"1865/06/01","00:00","NaN","NaN","NaN","580.623","NaN","NaN","NaN","NaN","0"
"1865/07/01","00:00","NaN","NaN","NaN","581.053","NaN","NaN","NaN","NaN","0"
"1865/08/01","00:00","NaN","NaN","NaN","581.073","NaN","NaN","NaN","NaN","0"
"1865/09/01","00:00","NaN","NaN","NaN","580.951","NaN","NaN","NaN","NaN","0"
"1865/10/01","00:00","NaN","NaN","NaN","580.712","NaN","NaN","NaN","NaN","0"
"1865/11/01","00:00","NaN","NaN","NaN","580.151","NaN","NaN","NaN","NaN","0"
"1865/12/01","00:00","NaN","NaN","NaN","579.843","NaN","NaN","NaN","NaN","0"
"1866/01/01","00:00","NaN","NaN","NaN","579.583","NaN","NaN","NaN","NaN","0"
"1866/02/01","00:00","NaN","NaN","NaN","579.341","NaN","NaN","NaN","NaN","0"
"1866/03/01","00:00","NaN","NaN","NaN","579.393","NaN","NaN","NaN","NaN","0"
"1866/04/01","00:00","NaN","NaN","NaN","579.843","NaN","NaN","NaN","NaN","0"
"1866/05/01","00:00","NaN","NaN","NaN","580.023","NaN","NaN","NaN","NaN","0"
"1866/06/01","00:00","NaN","NaN","NaN","580.312","NaN","NaN","NaN","NaN","0"
"1866/07/01","00:00","NaN","NaN","NaN","580.571","NaN","NaN","NaN","NaN","0"
"1866/08/01","00:00","NaN","NaN","NaN","580.633","NaN","NaN","NaN","NaN","0"
"1866/09/01","00:00","NaN","NaN","NaN","580.482","NaN","NaN","NaN","NaN","0"
"1866/10/01","00:00","NaN","NaN","NaN","580.371","NaN","NaN","NaN","NaN","0"
"1866/11/01","00:00","NaN","NaN","NaN","580.282","NaN","NaN","NaN","NaN","0"
"1866/12/01","00:00","NaN","NaN","NaN","580.023","NaN","NaN","NaN","NaN","0"
"1867/01/01","00:00","NaN","NaN","NaN","579.993","NaN","NaN","NaN","NaN","0"
"1867/02/01","00:00","NaN","NaN","NaN","580.043","NaN","NaN","NaN","NaN","0"
"1867/03/01","00:00","NaN","NaN","NaN","580.223","NaN","NaN","NaN","NaN","0"
"1867/04/01","00:00","NaN","NaN","NaN","580.512","NaN","NaN","NaN","NaN","0"
"1867/05/01","00:00","NaN","NaN","NaN","580.732","NaN","NaN","NaN","NaN","0"
"1867/06/01","00:00","NaN","NaN","NaN","581.043","NaN","NaN","NaN","NaN","0"
"1867/07/01","00:00","NaN","NaN","NaN","581.191","NaN","NaN","NaN","NaN","0"
"1867/08/01","00:00","NaN","NaN","NaN","581.122","NaN","NaN","NaN","NaN","0"
"1867/09/01","00:00","NaN","NaN","NaN","580.853","NaN","NaN","NaN","NaN","0"
"1867/10/01","00:00","NaN","NaN","NaN","580.522","NaN","NaN","NaN","NaN","0"
"1867/11/01","00:00","NaN","NaN","NaN","580.062","NaN","NaN","NaN","NaN","0"
"1867/12/01","00:00","NaN","NaN","NaN","579.711","NaN","NaN","NaN","NaN","0"
"1868/01/01","00:00","NaN","NaN","NaN","579.551","NaN","NaN","NaN","NaN","0"
"1868/02/01","00:00","NaN","NaN","NaN","579.511","NaN","NaN","NaN","NaN","0"
"1868/03/01","00:00","NaN","NaN","NaN","580.194","NaN","NaN","NaN","NaN","0"
"1868/04/01","00:00","NaN","NaN","NaN","580.092","NaN","NaN","NaN","NaN","0"
"1868/05/01","00:00","NaN","NaN","NaN","580.371","NaN","NaN","NaN","NaN","0"
"1868/06/01","00:00","NaN","NaN","NaN","580.581","NaN","NaN","NaN","NaN","0"
"1868/07/01","00:00","NaN","NaN","NaN","580.614","NaN","NaN","NaN","NaN","0"
"1868/08/01","00:00","NaN","NaN","NaN","580.272","NaN","NaN","NaN","NaN","0"
"1868/09/01","00:00","NaN","NaN","NaN","580.033","NaN","NaN","NaN","NaN","0"
"1868/10/01","00:00","NaN","NaN","NaN","579.803","NaN","NaN","NaN","NaN","0"
"1868/11/01","00:00","NaN","NaN","NaN","579.731","NaN","NaN","NaN","NaN","0"
"1868/12/01","00:00","NaN","NaN","NaN","579.452","NaN","NaN","NaN","NaN","0"
"1869/01/01","00:00","NaN","NaN","NaN","579.354","NaN","NaN","NaN","NaN","0"
"1869/02/01","00:00","NaN","NaN","NaN","579.423","NaN","NaN","NaN","NaN","0"
"1869/03/01","00:00","NaN","NaN","NaN","579.163","NaN","NaN","NaN","NaN","0"
"1869/04/01","00:00","NaN","NaN","NaN","579.531","NaN","NaN","NaN","NaN","0"
"1869/05/01","00:00","NaN","NaN","NaN","579.862","NaN","NaN","NaN","NaN","0"
"1869/06/01","00:00","NaN","NaN","NaN","580.394","NaN","NaN","NaN","NaN","0"
"1869/07/01","00:00","NaN","NaN","NaN","580.771","NaN","NaN","NaN","NaN","0"
"1869/08/01","00:00","NaN","NaN","NaN","581.033","NaN","NaN","NaN","NaN","0"
"1869/09/01","00:00","NaN","NaN","NaN","580.922","NaN","NaN","NaN","NaN","0"
"1869/10/01","00:00","NaN","NaN","NaN","580.561","NaN","NaN","NaN","NaN","0"
"1869/11/01","00:00","NaN","NaN","NaN","580.443","NaN","NaN","NaN","NaN","0"
"1869/12/01","00:00","NaN","NaN","NaN","580.161","NaN","NaN","NaN","NaN","0"
"1870/01/01","00:00","NaN","NaN","NaN","580.213","NaN","NaN","NaN","NaN","0"
"1870/02/01","00:00","NaN","NaN","NaN","580.302","NaN","NaN","NaN","NaN","0"
"1870/03/01","00:00","NaN","NaN","NaN","580.604","NaN","NaN","NaN","NaN","0"
"1870/04/01","00:00","NaN","NaN","NaN","581.024","NaN","NaN","NaN","NaN","0"
"1870/05/01","00:00","NaN","NaN","NaN","581.362","NaN","NaN","NaN","NaN","0"
"1870/06/01","00:00","NaN","NaN","NaN","581.503","NaN","NaN","NaN","NaN","0"
"1870/07/01","00:00","NaN","NaN","NaN","581.611","NaN","NaN","NaN","NaN","0"
"1870/08/01","00:00","NaN","NaN","NaN","581.522","NaN","NaN","NaN","NaN","0"
"1870/09/01","00:00","NaN","NaN","NaN","581.663","NaN","NaN","NaN","NaN","0"
"1870/10/01","00:00","NaN","NaN","NaN","581.263","NaN","NaN","NaN","NaN","0"
"1870/11/01","00:00","NaN","NaN","NaN","580.863","NaN","NaN","NaN","NaN","0"
"1870/12/01","00:00","NaN","NaN","NaN","580.512","NaN","NaN","NaN","NaN","0"
"1871/01/01","00:00","NaN","NaN","NaN","580.663","NaN","NaN","NaN","NaN","0"
"1871/02/01","00:00","NaN","NaN","NaN","580.581","NaN","NaN","NaN","NaN","0"
"1871/03/01","00:00","NaN","NaN","NaN","581.181","NaN","NaN","NaN","NaN","0"
"1871/04/01","00:00","NaN","NaN","NaN","581.381","NaN","NaN","NaN","NaN","0"
"1871/05/01","00:00","NaN","NaN","NaN","581.732","NaN","NaN","NaN","NaN","0"
"1871/06/01","00:00","NaN","NaN","NaN","581.772","NaN","NaN","NaN","NaN","0"
"1871/07/01","00:00","NaN","NaN","NaN","581.801","NaN","NaN","NaN","NaN","0"
"1871/08/01","00:00","NaN","NaN","NaN","581.572","NaN","NaN","NaN","NaN","0"
"1871/09/01","00:00","NaN","NaN","NaN","580.902","NaN","NaN","NaN","NaN","0"
"1871/10/01","00:00","NaN","NaN","NaN","580.213","NaN","NaN","NaN","NaN","0"
"1871/11/01","00:00","NaN","NaN","NaN","580.161","NaN","NaN","NaN","NaN","0"
"1871/12/01","00:00","NaN","NaN","NaN","579.573","NaN","NaN","NaN","NaN","0"
"1872/01/01","00:00","NaN","NaN","NaN","579.442","NaN","NaN","NaN","NaN","0"
"1872/02/01","00:00","NaN","NaN","NaN","579.442","NaN","NaN","NaN","NaN","0"
"1872/03/01","00:00","NaN","NaN","NaN","579.222","NaN","NaN","NaN","NaN","0"
"1872/04/01","00:00","NaN","NaN","NaN","579.472","NaN","NaN","NaN","NaN","0"
"1872/05/01","00:00","NaN","NaN","NaN","579.721","NaN","NaN","NaN","NaN","0"
"1872/06/01","00:00","NaN","NaN","NaN","580.092","NaN","NaN","NaN","NaN","0"
"1872/07/01","00:00","NaN","NaN","NaN","580.423","NaN","NaN","NaN","NaN","0"
"1872/08/01","00:00","NaN","NaN","NaN","580.404","NaN","NaN","NaN","NaN","0"
"1872/09/01","00:00","NaN","NaN","NaN","580.331","NaN","NaN","NaN","NaN","0"
"1872/10/01","00:00","NaN","NaN","NaN","580.213","NaN","NaN","NaN","NaN","0"
"1872/11/01","00:00","NaN","NaN","NaN","579.921","NaN","NaN","NaN","NaN","0"
"1872/12/01","00:00","NaN","NaN","NaN","579.262","NaN","NaN","NaN","NaN","0"
"1873/01/01","00:00","NaN","NaN","NaN","579.252","NaN","NaN","NaN","NaN","0"
"1873/02/01","00:00","NaN","NaN","NaN","579.291","NaN","NaN","NaN","NaN","0"
"1873/03/01","00:00","NaN","NaN","NaN","579.603","NaN","NaN","NaN","NaN","0"
"1873/04/01","00:00","NaN","NaN","NaN","580.171","NaN","NaN","NaN","NaN","0"
"1873/05/01","00:00","NaN","NaN","NaN","580.732","NaN","NaN","NaN","NaN","0"
"1873/06/01","00:00","NaN","NaN","NaN","581.063","NaN","NaN","NaN","NaN","0"
"1873/07/01","00:00","NaN","NaN","NaN","581.024","NaN","NaN","NaN","NaN","0"
"1873/08/01","00:00","NaN","NaN","NaN","581.122","NaN","NaN","NaN","NaN","0"
"1873/09/01","00:00","NaN","NaN","NaN","580.932","NaN","NaN","NaN","NaN","0"
"1873/10/01","00:00","NaN","NaN","NaN","580.873","NaN","NaN","NaN","NaN","0"
"1873/11/01","00:00","NaN","NaN","NaN","580.643","NaN","NaN","NaN","NaN","0"
"1873/12/01","00:00","NaN","NaN","NaN","580.604","NaN","NaN","NaN","NaN","0"
"1874/01/01","00:00","NaN","NaN","NaN","580.561","NaN","NaN","NaN","NaN","0"
"1874/02/01","00:00","NaN","NaN","NaN","580.853","NaN","NaN","NaN","NaN","0"
"1874/03/01","00:00","NaN","NaN","NaN","581.001","NaN","NaN","NaN","NaN","0"
"1874/04/01","00:00","NaN","NaN","NaN","580.902","NaN","NaN","NaN","NaN","0"
"1874/05/01","00:00","NaN","NaN","NaN","580.883","NaN","NaN","NaN","NaN","0"
"1874/06/01","00:00","NaN","NaN","NaN","581.253","NaN","NaN","NaN","NaN","0"
"1874/07/01","00:00","NaN","NaN","NaN","581.181","NaN","NaN","NaN","NaN","0"
"1874/08/01","00:00","NaN","NaN","NaN","581.191","NaN","NaN","NaN","NaN","0"
"1874/09/01","00:00","NaN","NaN","NaN","581.01","NaN","NaN","NaN","NaN","0"
"1874/10/01","00:00","NaN","NaN","NaN","580.741","NaN","NaN","NaN","NaN","0"
"1874/11/01","00:00","NaN","NaN","NaN","580.203","NaN","NaN","NaN","NaN","0"
"1874/12/01","00:00","NaN","NaN","NaN","580.351","NaN","NaN","NaN","NaN","0"
"1875/01/01","00:00","NaN","NaN","NaN","580.062","NaN","NaN","NaN","NaN","0"
"1875/02/01","00:00","NaN","NaN","NaN","580.003","NaN","NaN","NaN","NaN","0"
"1875/03/01","00:00","NaN","NaN","NaN","580.043","NaN","NaN","NaN","NaN","0"
"1875/04/01","00:00","NaN","NaN","NaN","580.233","NaN","NaN","NaN","NaN","0"
"1875/05/01","00:00","NaN","NaN","NaN","580.581","NaN","NaN","NaN","NaN","0"
"1875/06/01","00:00","NaN","NaN","NaN","580.892","NaN","NaN","NaN","NaN","0"
"1875/07/01","00:00","NaN","NaN","NaN","581.083","NaN","NaN","NaN","NaN","0"
"1875/08/01","00:00","NaN","NaN","NaN","581.053","NaN","NaN","NaN","NaN","0"
"1875/09/01","00:00","NaN","NaN","NaN","581.093","NaN","NaN","NaN","NaN","0"
"1875/10/01","00:00","NaN","NaN","NaN","580.902","NaN","NaN","NaN","NaN","0"
"1875/11/01","00:00","NaN","NaN","NaN","580.791","NaN","NaN","NaN","NaN","0"
"1875/12/01","00:00","NaN","NaN","NaN","580.522","NaN","NaN","NaN","NaN","0"
"1876/01/01","00:00","NaN","NaN","NaN","580.643","NaN","NaN","NaN","NaN","0"
"1876/02/01","00:00","NaN","NaN","NaN","580.623","NaN","NaN","NaN","NaN","0"
"1876/03/01","00:00","NaN","NaN","NaN","580.751","NaN","NaN","NaN","NaN","0"
"1876/04/01","00:00","NaN","NaN","NaN","581.033","NaN","NaN","NaN","NaN","0"
"1876/05/01","00:00","NaN","NaN","NaN","581.631","NaN","NaN","NaN","NaN","0"
"1876/06/01","00:00","NaN","NaN","NaN","582.123","NaN","NaN","NaN","NaN","0"
"1876/07/01","00:00","NaN","NaN","NaN","582.562","NaN","NaN","NaN","NaN","0"
"1876/08/01","00:00","NaN","NaN","NaN","582.503","NaN","NaN","NaN","NaN","0"
"1876/09/01","00:00","NaN","NaN","NaN","582.392","NaN","NaN","NaN","NaN","0"
"1876/10/01","00:00","NaN","NaN","NaN","581.991","NaN","NaN","NaN","NaN","0"
"1876/11/01","00:00","NaN","NaN","NaN","581.841","NaN","NaN","NaN","NaN","0"
"1876/12/01","00:00","NaN","NaN","NaN","581.654","NaN","NaN","NaN","NaN","0"
"1877/01/01","00:00","NaN","NaN","NaN","581.362","NaN","NaN","NaN","NaN","0"
"1877/02/01","00:00","NaN","NaN","NaN","581.352","NaN","NaN","NaN","NaN","0"
"1877/03/01","00:00","NaN","NaN","NaN","581.283","NaN","NaN","NaN","NaN","0"
"1877/04/01","00:00","NaN","NaN","NaN","581.362","NaN","NaN","NaN","NaN","0"
"1877/05/01","00:00","NaN","NaN","NaN","581.532","NaN","NaN","NaN","NaN","0"
"1877/06/01","00:00","NaN","NaN","NaN","581.493","NaN","NaN","NaN","NaN","0"
"1877/07/01","00:00","NaN","NaN","NaN","581.673","NaN","NaN","NaN","NaN","0"
"1877/08/01","00:00","NaN","NaN","NaN","581.572","NaN","NaN","NaN","NaN","0"
"1877/09/01","00:00","NaN","NaN","NaN","581.302","NaN","NaN","NaN","NaN","0"
"1877/10/01","00:00","NaN","NaN","NaN","581.161","NaN","NaN","NaN","NaN","0"
"1877/11/01","00:00","NaN","NaN","NaN","581.112","NaN","NaN","NaN","NaN","0"
"1877/12/01","00:00","NaN","NaN","NaN","581.063","NaN","NaN","NaN","NaN","0"
"1878/01/01","00:00","NaN","NaN","NaN","580.961","NaN","NaN","NaN","NaN","0"
"1878/02/01","00:00","NaN","NaN","NaN","580.791","NaN","NaN","NaN","NaN","0"
"1878/03/01","00:00","NaN","NaN","NaN","580.961","NaN","NaN","NaN","NaN","0"
"1878/04/01","00:00","NaN","NaN","NaN","580.892","NaN","NaN","NaN","NaN","0"
"1878/05/01","00:00","NaN","NaN","NaN","581.293","NaN","NaN","NaN","NaN","0"
"1878/06/01","00:00","NaN","NaN","NaN","581.463","NaN","NaN","NaN","NaN","0"
"1878/07/01","00:00","NaN","NaN","NaN","581.503","NaN","NaN","NaN","NaN","0"
"1878/08/01","00:00","NaN","NaN","NaN","581.401","NaN","NaN","NaN","NaN","0"
"1878/09/01","00:00","NaN","NaN","NaN","581.112","NaN","NaN","NaN","NaN","0"
"1878/10/01","00:00","NaN","NaN","NaN","581.122","NaN","NaN","NaN","NaN","0"
"1878/11/01","00:00","NaN","NaN","NaN","580.932","NaN","NaN","NaN","NaN","0"
"1878/12/01","00:00","NaN","NaN","NaN","580.732","NaN","NaN","NaN","NaN","0"
"1879/01/01","00:00","NaN","NaN","NaN","580.433","NaN","NaN","NaN","NaN","0"
"1879/02/01","00:00","NaN","NaN","NaN","580.194","NaN","NaN","NaN","NaN","0"
"1879/03/01","00:00","NaN","NaN","NaN","580.151","NaN","NaN","NaN","NaN","0"
"1879/04/01","00:00","NaN","NaN","NaN","580.184","NaN","NaN","NaN","NaN","0"
"1879/05/01","00:00","NaN","NaN","NaN","580.312","NaN","NaN","NaN","NaN","0"
"1879/06/01","00:00","NaN","NaN","NaN","580.453","NaN","NaN","NaN","NaN","0"
"1879/07/01","00:00","NaN","NaN","NaN","580.492","NaN","NaN","NaN","NaN","0"
"1879/08/01","00:00","NaN","NaN","NaN","580.361","NaN","NaN","NaN","NaN","0"
"1879/09/01","00:00","NaN","NaN","NaN","580.282","NaN","NaN","NaN","NaN","0"
"1879/10/01","00:00","NaN","NaN","NaN","580.043","NaN","NaN","NaN","NaN","0"
"1879/11/01","00:00","NaN","NaN","NaN","579.921","NaN","NaN","NaN","NaN","0"
"1879/12/01","00:00","NaN","NaN","NaN","579.902","NaN","NaN","NaN","NaN","0"
"1880/01/01","00:00","NaN","NaN","NaN","579.951","NaN","NaN","NaN","NaN","0"
"1880/02/01","00:00","NaN","NaN","NaN","579.892","NaN","NaN","NaN","NaN","0"
"1880/03/01","00:00","NaN","NaN","NaN","579.882","NaN","NaN","NaN","NaN","0"
"1880/04/01","00:00","NaN","NaN","NaN","579.892","NaN","NaN","NaN","NaN","0"
"1880/05/01","00:00","NaN","NaN","NaN","580.292","NaN","NaN","NaN","NaN","0"
"1880/06/01","00:00","NaN","NaN","NaN","580.781","NaN","NaN","NaN","NaN","0"
"1880/07/01","00:00","NaN","NaN","NaN","581.093","NaN","NaN","NaN","NaN","0"
"1880/08/01","00:00","NaN","NaN","NaN","580.981","NaN","NaN","NaN","NaN","0"
"1880/09/01","00:00","NaN","NaN","NaN","580.873","NaN","NaN","NaN","NaN","0"
"1880/10/01","00:00","NaN","NaN","NaN","580.512","NaN","NaN","NaN","NaN","0"
"1880/11/01","00:00","NaN","NaN","NaN","580.394","NaN","NaN","NaN","NaN","0"
"1880/12/01","00:00","NaN","NaN","NaN","580.194","NaN","NaN","NaN","NaN","0"
"1881/01/01","00:00","NaN","NaN","NaN","580.062","NaN","NaN","NaN","NaN","0"
"1881/02/01","00:00","NaN","NaN","NaN","580.453","NaN","NaN","NaN","NaN","0"
"1881/03/01","00:00","NaN","NaN","NaN","580.463","NaN","NaN","NaN","NaN","0"
"1881/04/01","00:00","NaN","NaN","NaN","580.482","NaN","NaN","NaN","NaN","0"
"1881/05/01","00:00","NaN","NaN","NaN","580.801","NaN","NaN","NaN","NaN","0"
"1881/06/01","00:00","NaN","NaN","NaN","580.971","NaN","NaN","NaN","NaN","0"
"1881/07/01","00:00","NaN","NaN","NaN","581.122","NaN","NaN","NaN","NaN","0"
"1881/08/01","00:00","NaN","NaN","NaN","580.951","NaN","NaN","NaN","NaN","0"
"1881/09/01","00:00","NaN","NaN","NaN","580.791","NaN","NaN","NaN","NaN","0"
"1881/10/01","00:00","NaN","NaN","NaN","581.043","NaN","NaN","NaN","NaN","0"
"1881/11/01","00:00","NaN","NaN","NaN","581.171","NaN","NaN","NaN","NaN","0"
"1881/12/01","00:00","NaN","NaN","NaN","581.001","NaN","NaN","NaN","NaN","0"
"1882/01/01","00:00","NaN","NaN","NaN","580.853","NaN","NaN","NaN","NaN","0"
"1882/02/01","00:00","NaN","NaN","NaN","580.623","NaN","NaN","NaN","NaN","0"
"1882/03/01","00:00","NaN","NaN","NaN","580.761","NaN","NaN","NaN","NaN","0"
"1882/04/01","00:00","NaN","NaN","NaN","580.981","NaN","NaN","NaN","NaN","0"
"1882/05/01","00:00","NaN","NaN","NaN","581.152","NaN","NaN","NaN","NaN","0"
"1882/06/01","00:00","NaN","NaN","NaN","581.381","NaN","NaN","NaN","NaN","0"
"1882/07/01","00:00","NaN","NaN","NaN","581.522","NaN","NaN","NaN","NaN","0"
"1882/08/01","00:00","NaN","NaN","NaN","581.581","NaN","NaN","NaN","NaN","0"
"1882/09/01","00:00","NaN","NaN","NaN","581.463","NaN","NaN","NaN","NaN","0"
"1882/10/01","00:00","NaN","NaN","NaN","581.234","NaN","NaN","NaN","NaN","0"
"1882/11/01","00:00","NaN","NaN","NaN","581.043","NaN","NaN","NaN","NaN","0"
"1882/12/01","00:00","NaN","NaN","NaN","580.833","NaN","NaN","NaN","NaN","0"
"1883/01/01","00:00","NaN","NaN","NaN","580.643","NaN","NaN","NaN","NaN","0"
"1883/02/01","00:00","NaN","NaN","NaN","580.581","NaN","NaN","NaN","NaN","0"
"1883/03/01","00:00","NaN","NaN","NaN","580.623","NaN","NaN","NaN","NaN","0"
"1883/04/01","00:00","NaN","NaN","NaN","580.633","NaN","NaN","NaN","NaN","0"
"1883/05/01","00:00","NaN","NaN","NaN","581.201","NaN","NaN","NaN","NaN","0"
"1883/06/01","00:00","NaN","NaN","NaN","581.621","NaN","NaN","NaN","NaN","0"
"1883/07/01","00:00","NaN","NaN","NaN","582.103","NaN","NaN","NaN","NaN","0"
"1883/08/01","00:00","NaN","NaN","NaN","582.303","NaN","NaN","NaN","NaN","0"
"1883/09/01","00:00","NaN","NaN","NaN","581.982","NaN","NaN","NaN","NaN","0"
"1883/10/01","00:00","NaN","NaN","NaN","581.654","NaN","NaN","NaN","NaN","0"
"1883/11/01","00:00","NaN","NaN","NaN","581.762","NaN","NaN","NaN","NaN","0"
"1883/12/01","00:00","NaN","NaN","NaN","581.654","NaN","NaN","NaN","NaN","0"
"1884/01/01","00:00","NaN","NaN","NaN","581.463","NaN","NaN","NaN","NaN","0"
"1884/02/01","00:00","NaN","NaN","NaN","581.312","NaN","NaN","NaN","NaN","0"
"1884/03/01","00:00","NaN","NaN","NaN","581.352","NaN","NaN","NaN","NaN","0"
"1884/04/01","00:00","NaN","NaN","NaN","581.663","NaN","NaN","NaN","NaN","0"
"1884/05/01","00:00","NaN","NaN","NaN","581.883","NaN","NaN","NaN","NaN","0"
"1884/06/01","00:00","NaN","NaN","NaN","581.942","NaN","NaN","NaN","NaN","0"
"1884/07/01","00:00","NaN","NaN","NaN","582.021","NaN","NaN","NaN","NaN","0"
"1884/08/01","00:00","NaN","NaN","NaN","581.903","NaN","NaN","NaN","NaN","0"
